0,257,124,32,870
5,260,123,33,867
10,261,123,34,866
15,264,122,34,866
20,266,123,36,867
25,268,122,36,870
30,271,121,37,873
35,274,123,38,872
40,275,123,39,872
45,278,123,39,871
50,277,124,40,872
55,281,123,42,871
60,283,123,42,871
65,284,123,43,871
70,301,122,92,871
75,340,123,190,869
80,376,121,247,868
85,428,122,308,867
90,474,123,373,866
95,512,121,432,867
100,542,123,475,868
105,572,122,517,870
110,597,124,541,872
115,614,123,553,873
120,629,122,567,871
125,635,123,575,871
130,641,123,582,871
135,643,122,587,870
140,644,123,589,871
145,646,122,593,871
150,645,123,591,870
155,644,122,593,867
160,643,122,592,866
165,644,122,593,866
170,643,121,594,866
175,643,123,593,866
180,646,122,596,865
185,644,122,595,867
190,644,123,596,867
195,646,122,598,867
200,646,122,598,868
205,648,122,601,869
210,648,123,601,872
215,650,122,603,872
220,650,122,603,871
225,647,123,602,871
230,648,124,601,869
235,645,124,599,867
240,645,123,599,866
245,644,123,598,866
250,645,122,600,866
255,644,123,599,868
260,645,122,602,868
265,648,122,603,871
270,648,121,605,872
275,648,122,604,872
280,647,123,602,871
285,647,123,603,872
290,647,122,604,870
295,647,124,602,866
300,642,122,599,867
305,644,122,600,866
310,644,123,600,868
315,644,123,602,871
320,648,121,604,872
325,648,123,604,872
330,648,122,605,871
335,646,123,604,872
340,644,124,602,871
345,648,124,604,871
350,645,122,602,868
355,641,124,599,866
360,642,122,601,866
365,644,123,602,869
370,645,124,603,872
375,645,123,603,872
380,644,123,602,871
385,646,123,604,871
390,643,123,603,868
395,641,124,599,867
400,642,123,601,866
405,643,123,601,866
410,643,123,601,869
415,644,123,602,872
420,646,124,605,872
425,663,121,622,870
430,661,123,621,870
435,644,122,605,870
440,619,124,575,869
445,592,122,539,866
450,562,124,495,866
455,534,122,446,865
460,506,123,390,866
465,476,123,328,868
470,447,123,266,871
475,420,123,208,871
480,397,123,159,871
485,375,123,121,868
490,357,122,94,867
495,343,122,75,869
500,330,120,62,871
505,320,122,52,871
510,312,121,45,867
515,301,120,40,866
520,296,120,38,868
525,290,120,35,871
530,284,119,34,871
535,280,119,31,871
540,276,119,31,866
545,270,118,30,867
550,268,117,29,871
555,266,119,30,871
560,261,117,28,870
565,257,117,28,866
570,258,118,26,867
575,256,115,26,871
580,254,116,26,871
585,252,115,26,871
590,251,116,26,866
595,248,114,25,867
600,247,115,25,872
